Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,class
4,7,9,2,10,5,4,0,18,39,1
4,4,5,0,9,3,2,0,16,39,0
2,4,11,2,3,0,4,1,40,39,1
2,4,15,0,12,4,4,0,40,39,0
4,6,11,2,5,0,4,1,48,39,0
2,4,11,2,8,0,2,1,35,39,0
2,4,9,0,12,4,1,0,40,3,0
1,0,11,4,0,1,4,1,35,39,0
2,4,9,2,10,0,4,1,60,39,1
2,2,15,2,11,0,3,1,40,39,1
1,4,9,4,4,3,4,0,18,39,0
2,4,15,2,10,0,4,1,45,39,1
2,5,9,2,12,0,4,1,50,39,0
2,2,11,2,8,0,4,1,40,39,0
2,4,11,2,7,0,4,1,40,39,1
2,4,15,2,13,5,4,0,40,39,0
4,4,9,2,4,5,4,0,30,39,1
4,4,2,6,12,4,4,0,40,39,0
2,4,11,2,13,0,4,1,40,39,1
1,6,7,6,12,4,4,0,40,39,1
2,4,9,2,3,0,4,1,45,39,1
2,4,15,4,13,1,4,0,40,39,1
2,4,6,2,6,0,4,1,40,39,0
4,0,15,0,0,3,4,1,50,39,0
1,4,11,4,7,3,4,1,55,39,0
2,4,15,2,4,0,4,1,40,39,0
0,4,15,4,5,3,4,1,66,39,0
2,6,15,2,3,0,4,1,40,39,0
2,4,11,2,3,0,4,1,40,0,0
0,0,11,4,0,1,3,1,30,39,0
2,5,5,4,3,4,2,1,40,39,0
1,4,9,2,1,2,4,0,40,39,0
4,4,11,2,4,0,4,1,40,39,1
1,2,7,2,11,0,4,1,45,39,1
2,4,11,0,12,1,4,0,40,39,0
1,7,7,4,10,1,2,1,40,39,1
1,4,15,4,8,1,4,0,30,39,0
2,5,12,2,4,0,4,1,55,39,1
2,5,11,2,3,0,4,1,45,39,0
1,4,9,4,1,3,4,0,40,39,0
1,4,5,4,3,1,4,1,40,26,0
1,4,1,4,7,4,4,0,40,39,0
2,4,11,0,3,1,4,1,60,39,0
2,0,11,2,0,0,4,1,35,39,0
1,1,9,4,10,1,4,0,15,39,0
4,4,15,2,13,0,4,1,40,39,1
2,6,8,2,5,0,4,1,48,39,1
4,4,10,2,10,0,4,1,40,39,1
1,4,9,2,12,0,4,1,40,39,1
4,4,11,2,7,0,4,1,40,39,1
1,4,7,4,12,3,4,0,32,39,0
2,4,7,4,1,1,4,0,40,39,1
2,4,12,2,4,0,4,1,50,39,1
2,2,12,4,10,1,4,1,35,39,1
3,4,0,4,8,3,4,1,18,39,0
4,5,12,2,12,0,4,1,40,39,1
1,4,4,4,1,3,4,0,40,26,0
2,4,11,4,8,4,2,0,24,39,0
0,4,11,4,11,3,4,1,40,39,0
2,4,12,2,4,0,4,1,65,39,1
2,4,7,2,10,5,4,0,40,39,1
1,4,15,4,10,1,2,1,40,39,0
0,4,1,4,8,3,4,1,18,39,0
1,4,2,4,8,3,2,1,40,39,0
2,7,9,2,4,0,4,1,48,39,1
1,2,9,4,13,3,4,1,40,39,0
2,4,9,2,12,0,4,1,40,39,1
2,4,9,2,12,0,4,1,40,39,1
4,0,2,4,0,2,2,1,40,39,0
2,5,11,2,3,0,4,1,60,39,1
1,4,9,4,4,1,4,1,40,39,0
2,4,15,0,12,4,2,0,40,16,0
0,4,11,4,12,1,1,0,40,39,0
2,4,11,2,12,5,4,0,40,39,1
2,6,9,2,14,0,4,1,50,0,0
2,4,0,2,14,0,4,1,40,39,0
2,2,9,2,11,0,4,1,40,39,0
1,0,15,2,0,5,4,0,40,39,1
0,4,0,4,12,1,4,1,18,39,0
2,4,11,2,10,0,4,1,48,39,0
2,4,0,4,14,3,4,1,99,5,0
2,4,9,2,4,0,4,1,75,39,1
2,4,9,0,4,1,4,1,55,39,1
2,4,11,4,6,2,4,1,40,39,0
2,4,12,4,10,1,4,1,40,39,0
2,1,12,2,12,0,4,1,50,39,1
2,4,11,5,14,1,4,1,50,39,0
2,4,9,4,4,4,4,0,40,39,0
2,4,9,4,4,1,4,1,40,39,0
1,4,11,0,1,1,4,0,62,39,0
1,4,11,4,6,3,4,1,40,39,0
2,4,9,4,4,1,4,1,55,39,0
2,6,15,0,7,4,4,1,40,39,0
1,4,9,4,10,1,4,1,45,39,1
2,4,10,2,10,0,4,1,50,39,1
2,0,11,2,0,5,2,0,18,39,0
4,0,9,2,0,0,4,1,15,39,1
1,4,15,4,1,1,4,0,40,39,0
4,4,15,0,1,4,4,0,40,39,0
2,4,15,2,4,0,4,1,60,39,1
1,4,15,0,4,3,4,0,40,39,0
2,4,11,2,7,0,4,1,40,39,0
2,4,14,2,10,0,4,1,40,39,1
2,4,15,2,3,0,4,1,40,39,1
4,5,9,6,5,4,4,0,6,39,0
2,5,9,2,3,0,4,1,50,39,1
2,4,1,2,8,0,4,1,35,4,0
2,6,11,2,12,3,4,0,40,39,1
2,2,14,2,10,5,4,0,60,39,1
2,4,5,2,3,0,4,1,40,39,0
2,4,9,2,12,0,4,1,40,39,1
1,4,11,2,3,0,4,1,40,39,0
2,4,1,4,6,3,2,0,40,39,0
2,7,12,2,10,0,0,1,35,39,1
4,2,11,2,4,0,4,1,40,39,1
1,4,9,2,12,0,4,1,50,39,1
2,4,11,2,1,0,4,1,40,39,0
0,4,1,5,8,3,4,0,40,39,0
0,4,11,4,1,3,4,0,40,39,0
1,6,15,2,1,5,4,0,30,39,1
2,4,9,2,3,0,4,1,50,39,1
2,7,9,4,10,1,1,0,38,39,0
4,4,15,2,13,0,4,1,40,39,1
2,4,15,2,12,0,4,1,35,39,0
1,7,15,2,1,0,4,1,40,39,0
2,4,11,2,4,0,2,1,50,39,0
2,2,9,2,10,5,2,0,35,39,1
0,0,15,4,0,3,4,1,50,39,0
1,4,11,4,1,1,4,1,18,39,0
4,4,15,0,5,1,4,1,40,39,0
2,4,9,2,12,0,4,1,60,39,1
2,4,9,2,4,0,4,1,60,39,1
2,4,11,4,12,1,4,0,45,39,0
4,1,15,2,6,0,3,1,40,0,0
2,2,8,2,14,0,4,1,40,39,1
0,0,11,4,0,3,4,1,10,39,0
1,2,9,2,10,0,4,1,55,39,1
4,6,11,2,5,0,4,1,98,39,0
4,4,11,5,12,4,2,0,16,39,0
1,7,8,2,11,0,4,1,40,39,0
2,7,11,5,12,4,2,0,40,39,0
2,4,8,2,1,5,4,0,40,39,1
2,4,9,2,12,0,4,1,40,39,1
1,4,8,4,12,1,4,0,40,39,0
4,4,12,0,12,1,4,0,10,39,0
1,4,1,4,3,3,4,1,40,39,0
2,2,15,2,11,0,4,1,61,39,1
2,4,15,2,3,0,4,1,40,39,0
1,4,8,4,8,2,2,1,52,39,0
2,4,12,2,12,0,4,1,40,39,1
1,4,11,2,6,0,2,1,40,39,0
2,4,12,2,10,0,1,1,45,3,1
2,4,8,2,10,0,4,1,40,39,1
2,4,9,0,1,4,4,0,40,39,0
4,4,9,2,4,0,4,1,50,39,1
2,4,14,2,10,0,4,1,65,39,1
2,4,11,2,4,0,4,1,45,39,1
0,0,11,4,0,3,4,0,30,39,0
0,4,0,4,8,3,4,0,12,39,0
0,0,11,4,0,3,4,0,8,39,0
2,2,9,4,10,1,4,0,18,39,0
2,4,8,2,3,0,4,1,40,39,1
2,4,10,2,10,5,4,0,30,39,1
1,4,10,4,10,1,4,1,40,0,0
2,4,9,4,12,1,4,1,45,39,0
4,4,10,4,4,1,4,1,40,39,1
1,4,7,4,10,4,2,0,36,39,0
4,5,9,2,13,0,4,1,40,39,1
2,4,11,0,1,1,4,1,40,39,0
4,4,15,2,13,0,4,1,40,39,1
2,5,7,2,5,0,4,1,50,39,1
2,4,15,2,12,0,4,1,50,39,1
1,4,9,4,8,1,4,0,50,39,0
4,4,11,2,7,0,4,1,40,39,0
2,4,15,0,10,1,4,0,45,39,1
4,7,11,2,1,0,4,1,40,39,1
0,4,15,4,12,3,4,0,25,39,0
1,4,11,2,8,0,4,1,40,39,0
2,4,15,2,1,0,2,1,40,39,1
2,4,0,2,3,0,4,1,40,39,0
2,4,11,2,3,0,4,1,40,39,1
2,4,15,4,12,1,4,0,40,39,0
2,5,9,2,4,0,4,1,60,39,1
2,4,11,4,12,1,4,0,65,39,1
1,4,11,0,4,3,4,1,40,39,0
2,4,15,2,13,0,2,1,40,39,1
2,6,11,2,5,0,4,1,50,39,0
1,4,11,0,6,4,4,1,40,39,0
1,7,14,4,10,1,4,0,80,39,0
0,4,15,4,8,3,4,0,15,39,0
1,4,7,2,13,0,4,1,45,39,1
1,4,12,2,10,5,4,0,35,39,1
2,4,0,2,7,0,4,1,40,39,1
2,2,9,2,10,0,4,1,50,39,1
1,2,9,4,1,1,4,1,42,39,0
1,4,11,4,6,3,4,0,40,39,0
2,1,11,2,1,5,4,0,40,39,1
2,4,9,0,4,4,2,0,45,39,1
2,2,15,2,11,0,2,1,40,39,1
4,1,12,2,4,0,1,1,60,39,1
1,4,2,4,8,1,4,0,30,39,0
2,4,11,0,1,1,4,0,40,39,0
2,4,8,2,13,5,4,0,38,39,1
1,6,8,2,5,0,4,1,40,39,0
4,5,15,2,13,0,4,1,60,39,1
1,4,9,4,1,3,4,1,40,39,1
4,6,7,2,4,0,4,1,50,39,0
1,4,9,4,1,3,1,0,40,36,0
4,4,11,2,13,0,4,1,50,39,1
4,1,11,2,13,0,4,1,40,39,1
2,4,11,0,1,1,4,0,35,39,0
2,5,9,2,10,0,4,1,50,39,1
4,6,15,5,4,1,4,0,60,39,0
2,6,14,4,10,1,4,1,30,39,1
2,4,14,4,10,1,1,0,55,39,1
0,4,11,4,7,3,4,0,40,39,0
1,4,0,4,6,4,4,1,40,26,0
2,4,5,2,6,0,4,1,40,26,0
2,4,15,5,12,4,4,0,10,39,0
2,4,11,2,7,0,4,1,45,39,1
1,4,15,2,1,5,4,0,32,39,1
2,6,14,2,10,0,4,1,60,39,1
1,4,1,2,6,0,4,1,40,26,0
4,6,5,2,8,0,4,1,25,39,0
1,4,1,2,3,0,4,1,65,39,0
4,4,0,2,7,0,4,1,40,39,0
0,4,11,4,1,3,4,1,25,39,0
2,4,9,2,10,0,4,1,40,39,1
2,5,11,2,3,0,4,1,40,39,1
2,6,11,2,3,0,4,1,60,39,0
4,4,11,2,4,0,4,1,40,39,1
2,6,12,2,4,0,4,1,45,39,1
1,2,9,2,10,0,4,1,40,39,1
4,4,12,2,4,0,4,1,40,39,1
2,4,7,4,12,1,3,1,36,39,0
2,4,15,2,4,0,1,1,55,39,0
2,4,9,2,12,5,4,0,42,39,1
1,4,15,2,13,0,4,1,40,39,1
1,4,15,2,8,0,4,1,40,39,0
2,4,8,2,3,0,4,1,50,39,0
4,4,15,2,14,0,4,1,60,2,1
2,6,11,0,10,1,1,0,60,40,0
2,6,11,2,3,0,4,1,72,39,1
2,4,8,2,5,0,4,1,40,39,1
2,4,15,0,10,4,4,0,40,39,0
2,0,12,2,0,0,4,1,60,39,1
2,0,9,2,0,0,2,1,45,39,1
4,4,11,2,7,0,2,1,40,39,1
2,4,15,2,13,0,4,1,40,39,1
1,7,11,2,3,0,4,1,40,39,1
4,4,4,4,14,1,2,1,40,39,0
1,4,11,0,1,4,2,0,40,39,0
2,4,12,2,4,0,4,1,50,39,1
2,4,11,2,12,0,4,1,50,39,0
1,4,11,4,3,3,4,1,40,39,0
1,4,7,4,6,3,4,1,18,39,0
2,4,11,2,12,0,4,1,55,39,0
1,6,11,3,14,2,1,1,50,19,1
2,0,11,2,0,5,4,0,30,26,0
1,7,15,4,13,3,4,0,80,39,0
2,4,10,0,4,1,4,0,60,9,1
4,5,9,2,10,0,4,1,45,39,1
2,5,11,2,4,0,4,1,50,0,1
2,4,9,2,12,0,4,1,40,39,1
0,4,15,4,12,2,4,1,40,39,0
2,5,9,2,4,0,4,1,45,39,1
2,4,10,3,10,4,0,0,40,39,0
1,4,15,4,1,3,4,0,30,39,0
1,7,9,4,10,3,2,0,40,39,0
2,4,9,2,3,0,1,1,40,1,1
2,4,9,2,12,0,4,1,50,39,1
2,7,11,0,4,4,4,0,44,39,0
2,4,12,2,4,0,2,1,40,39,1
2,4,11,2,7,0,4,1,40,39,0
1,4,15,4,10,1,2,1,45,39,0
4,4,9,2,4,0,4,1,40,39,1
2,7,9,0,11,1,4,1,40,26,1
2,4,15,6,1,4,4,0,40,39,0
4,0,11,6,0,1,4,0,12,39,0
2,4,11,2,8,0,4,1,35,39,0
2,4,0,0,7,1,2,0,40,39,0
2,4,9,0,4,4,4,1,45,39,1
1,7,9,4,10,1,4,1,40,39,1
2,4,15,4,1,4,4,1,38,39,1
0,4,15,4,6,3,4,1,35,39,0
1,4,9,2,4,0,4,1,55,39,1
2,4,9,2,1,5,4,0,40,39,0
2,4,11,2,6,0,2,1,40,39,0
2,4,15,0,13,1,4,1,30,13,1
2,4,15,0,14,3,4,1,55,39,0
4,4,12,2,4,0,4,1,55,39,1
4,4,11,5,3,4,4,1,40,39,0
1,4,8,2,6,0,4,1,80,39,0
0,0,15,4,0,3,4,1,30,39,0
2,4,15,0,13,4,4,0,40,39,0
2,4,11,2,14,0,4,1,40,39,0
2,4,4,5,9,4,3,0,35,26,0
2,4,9,2,4,5,4,0,32,39,1
1,4,11,0,14,1,4,1,70,39,0
1,6,7,2,12,0,4,1,60,20,0
2,4,15,0,8,4,4,0,40,39,0
2,4,9,0,12,4,4,1,44,39,1
2,4,9,2,4,0,4,1,40,9,1
4,4,15,2,14,0,4,1,40,39,1
2,4,15,2,12,0,4,1,40,39,1
2,2,12,2,4,0,4,1,50,39,1
4,1,7,2,8,0,2,1,40,39,0
4,4,11,2,12,0,4,1,40,39,1
4,5,15,2,12,0,4,1,48,2,1
